feature,importance
std_11th_delta,4.870530599124954
std_5th_delta_delta,3.2373863688419395
mean_MFCC_6th_coef,2.2401855108457625
std_MFCC_12th_coef,2.179641172318833
std_4th_delta_delta,1.9026838550680512
tqwt_entropy_log_dec_26,1.4529335969414376
tqwt_medianValue_dec_32,1.2936041623395835
tqwt_entropy_shannon_dec_20,1.2749050440481087
mean_MFCC_1st_coef,1.2514812754665923
mean_MFCC_3rd_coef,1.224217005355448
tqwt_medianValue_dec_7,1.2175883582330138
tqwt_TKEO_std_dec_12,1.0321082576625882
tqwt_energy_dec_6,0.9506037522000387
tqwt_skewnessValue_dec_28,0.9498253781264654
std_5th_delta,0.9405394915339277
std_6th_delta_delta,0.9126035881474339
app_LT_TKEO_std_3_coef,0.9003232383200648
tqwt_kurtosisValue_dec_8,0.7939448977195644
tqwt_TKEO_mean_dec_4,0.7636414247848199
tqwt_skewnessValue_dec_31,0.7578756855205983
tqwt_minValue_dec_8,0.7489549947137742
app_det_TKEO_mean_3_coef,0.7445464211903845
tqwt_maxValue_dec_8,0.7443099992061114
tqwt_TKEO_mean_dec_5,0.7393931125441859
tqwt_skewnessValue_dec_19,0.7358739774743718
tqwt_maxValue_dec_30,0.7244309972634928
IMF_NSR_TKEO,0.7112614080940302
tqwt_entropy_log_dec_35,0.7009557036065319
std_3rd_delta,0.6777462188457931
tqwt_energy_dec_2,0.6507908722156955
tqwt_TKEO_mean_dec_10,0.6503539246337572
std_MFCC_3rd_coef,0.5816940473156043
tqwt_TKEO_mean_dec_25,0.5580998453361626
tqwt_entropy_shannon_dec_21,0.5575397588581397
tqwt_entropy_shannon_dec_11,0.5573959529421578
tqwt_TKEO_std_dec_11,0.5515631916894749
std_10th_delta,0.5506527703436985
mean_delta_log_energy,0.5397015917881562
std_7th_delta,0.532025020266602
tqwt_entropy_shannon_dec_30,0.5257900233133573
tqwt_entropy_shannon_dec_22,0.5232027046336901
tqwt_TKEO_std_dec_4,0.5192795343453472
app_TKEO_std_1_coef,0.5150686159851289
app_entropy_log_2_coef,0.48948054266222285
mean_MFCC_7th_coef,0.4747372459844249
tqwt_medianValue_dec_4,0.47219956415437725
app_TKEO_std_2_coef,0.45169568844094443
IMF_SNR_TKEO,0.4502801804153326
tqwt_TKEO_mean_dec_26,0.4499545045543288
tqwt_entropy_shannon_dec_8,0.4430847402173948
id,0.4410273605155475
app_LT_TKEO_mean_4_coef,0.4326354899650851
mean_MFCC_12th_coef,0.4291544541901192
tqwt_energy_dec_20,0.42696738333718587
tqwt_kurtosisValue_dec_25,0.4260851877366894
tqwt_kurtosisValue_dec_17,0.4238645171509297
tqwt_stdValue_dec_16,0.4212553790637252
tqwt_medianValue_dec_27,0.4186711893305577
tqwt_maxValue_dec_36,0.4174226887098169
meanNoiseToHarmHarmonicity,0.4091071617236625
app_LT_TKEO_mean_10_coef,0.40810711225595536
std_8th_delta_delta,0.4072577195321052
tqwt_stdValue_dec_24,0.3920369812925955
tqwt_stdValue_dec_34,0.3894071818353574
tqwt_maxValue_dec_35,0.388277357139349
tqwt_minValue_dec_2,0.3854885457516494
f1,0.38214211967555256
app_LT_entropy_shannon_3_coef,0.3769497359148991
app_LT_entropy_shannon_7_coef,0.3687591818660718
app_LT_TKEO_mean_8_coef,0.36450376395538525
tqwt_medianValue_dec_17,0.3566028169316884
tqwt_entropy_shannon_dec_7,0.35596927719800636
app_entropy_log_6_coef,0.3434238996005394
std_7th_delta_delta,0.3424748556511536
mean_delta_delta_log_energy,0.33874302109644433
tqwt_entropy_shannon_dec_1,0.33820360013674744
tqwt_skewnessValue_dec_35,0.3354104536652082
tqwt_minValue_dec_10,0.33282945391367974
tqwt_skewnessValue_dec_30,0.31823290494946743
tqwt_skewnessValue_dec_34,0.31822444703646924
tqwt_entropy_log_dec_12,0.314592464313119
tqwt_entropy_log_dec_36,0.3137657599577214
tqwt_kurtosisValue_dec_9,0.30386614909050175
tqwt_entropy_log_dec_5,0.2998867167071326
mean_MFCC_8th_coef,0.298579908478126
app_det_TKEO_mean_2_coef,0.29141071575642147
std_MFCC_5th_coef,0.28648733156280165
tqwt_TKEO_mean_dec_20,0.2846581614103152
tqwt_skewnessValue_dec_29,0.2839854052427371
app_det_TKEO_mean_7_coef,0.2763682673384913
tqwt_kurtosisValue_dec_1,0.27353828525648316
